Round 0: src_acc=0.983383, tgt_acc=0.939606, best_tgt=0.939606
Round 1: src_acc=0.910452, tgt_acc=0.859193, best_tgt=0.939606
Round 2: src_acc=0.988614, tgt_acc=0.952286, best_tgt=0.952286
Round 3: src_acc=0.998359, tgt_acc=0.978312, best_tgt=0.978312
Round 4: src_acc=0.993333, tgt_acc=0.957291, best_tgt=0.978312
Round 5: src_acc=0.998154, tgt_acc=0.975976, best_tgt=0.978312
Round 6: src_acc=0.997025, tgt_acc=0.971305, best_tgt=0.978312
Round 7: src_acc=0.997743, tgt_acc=0.971972, best_tgt=0.978312
Round 8: src_acc=0.998872, tgt_acc=0.975976, best_tgt=0.978312
Round 9: src_acc=0.992409, tgt_acc=0.959293, best_tgt=0.978312
Round 10: src_acc=0.999897, tgt_acc=0.990991, best_tgt=0.990991
Round 11: src_acc=0.999897, tgt_acc=0.990324, best_tgt=0.990991
Round 12: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.990991
Round 13: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.991658
Round 14: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.991658
Round 15: src_acc=1.000000, tgt_acc=0.989990, best_tgt=0.991658
Round 16: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.991658
Round 17: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.991658
Round 18: src_acc=1.000000, tgt_acc=0.992659, best_tgt=0.992659
Round 19: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.992659
