Round 0: src_acc=0.951277, tgt_acc=0.862196, best_tgt=0.862196
Round 1: src_acc=0.968510, tgt_acc=0.909910, best_tgt=0.909910
Round 2: src_acc=0.991589, tgt_acc=0.961628, best_tgt=0.961628
Round 3: src_acc=0.997436, tgt_acc=0.965632, best_tgt=0.965632
Round 4: src_acc=0.996718, tgt_acc=0.967301, best_tgt=0.967301
Round 5: src_acc=0.997641, tgt_acc=0.959293, best_tgt=0.967301
Round 6: src_acc=0.993333, tgt_acc=0.957624, best_tgt=0.967301
Round 7: src_acc=0.998154, tgt_acc=0.974641, best_tgt=0.974641
Round 8: src_acc=0.998564, tgt_acc=0.966300, best_tgt=0.974641
Round 9: src_acc=0.998872, tgt_acc=0.981648, best_tgt=0.981648
Round 10: src_acc=0.999795, tgt_acc=0.987321, best_tgt=0.987321
Round 11: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.991992
Round 12: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.991992
Round 13: src_acc=1.000000, tgt_acc=0.988655, best_tgt=0.991992
Round 14: src_acc=1.000000, tgt_acc=0.992326, best_tgt=0.992326
Round 15: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.992326
Round 16: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.992326
Round 17: src_acc=1.000000, tgt_acc=0.987654, best_tgt=0.992326
Round 18: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.992326
Round 19: src_acc=1.000000, tgt_acc=0.987654, best_tgt=0.992326
