Round 0: src_acc=0.898451, tgt_acc=0.853854, best_tgt=0.853854
Round 1: src_acc=0.972613, tgt_acc=0.898232, best_tgt=0.898232
Round 2: src_acc=0.988101, tgt_acc=0.959293, best_tgt=0.959293
Round 3: src_acc=0.980613, tgt_acc=0.939940, best_tgt=0.959293
Round 4: src_acc=0.995487, tgt_acc=0.972639, best_tgt=0.972639
Round 5: src_acc=0.996205, tgt_acc=0.961962, best_tgt=0.972639
Round 6: src_acc=0.999282, tgt_acc=0.969636, best_tgt=0.972639
Round 7: src_acc=0.998461, tgt_acc=0.976310, best_tgt=0.976310
Round 8: src_acc=0.997743, tgt_acc=0.946947, best_tgt=0.976310
Round 9: src_acc=0.999179, tgt_acc=0.971972, best_tgt=0.976310
Round 10: src_acc=1.000000, tgt_acc=0.983317, best_tgt=0.983317
Round 11: src_acc=1.000000, tgt_acc=0.987988, best_tgt=0.987988
Round 12: src_acc=1.000000, tgt_acc=0.987321, best_tgt=0.987988
Round 13: src_acc=1.000000, tgt_acc=0.986987, best_tgt=0.987988
Round 14: src_acc=1.000000, tgt_acc=0.988322, best_tgt=0.988322
Round 15: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.988989
Round 16: src_acc=1.000000, tgt_acc=0.984985, best_tgt=0.988989
Round 17: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.988989
Round 18: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.989656
Round 19: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.989656
Round 20: src_acc=1.000000, tgt_acc=0.988655, best_tgt=0.989656
Round 21: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.989656
Round 22: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.989656
Round 23: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.989656
Round 24: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.989656
Round 25: src_acc=1.000000, tgt_acc=0.989990, best_tgt=0.989990
Round 26: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.989990
Round 27: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.989990
Round 28: src_acc=1.000000, tgt_acc=0.989990, best_tgt=0.989990
Round 29: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.990324
Round 30: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.990657
Round 31: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.990657
Round 32: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.990657
Round 33: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.990657
Round 34: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.990657
Round 35: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.990657
Round 36: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.991325
Round 37: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.991325
Round 38: src_acc=1.000000, tgt_acc=0.989990, best_tgt=0.991325
Round 39: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.991325
Round 40: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.991325
Round 41: src_acc=1.000000, tgt_acc=0.989990, best_tgt=0.991325
Round 42: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.991325
Round 43: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.991325
Round 44: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.991325
Round 45: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.991325
Round 46: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.991325
Round 47: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.991325
Round 48: src_acc=1.000000, tgt_acc=0.987988, best_tgt=0.991325
Round 49: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.991325
