Round 0: src_acc=0.954815, tgt_acc=0.948889, best_tgt=0.948889
Round 1: src_acc=0.945000, tgt_acc=0.903704, best_tgt=0.948889
Round 2: src_acc=0.963889, tgt_acc=0.949630, best_tgt=0.949630
Round 3: src_acc=0.959815, tgt_acc=0.960741, best_tgt=0.960741
Round 4: src_acc=0.995370, tgt_acc=0.977037, best_tgt=0.977037
Round 5: src_acc=0.996296, tgt_acc=0.982963, best_tgt=0.982963
Round 6: src_acc=0.993704, tgt_acc=0.982963, best_tgt=0.982963
Round 7: src_acc=0.991667, tgt_acc=0.985185, best_tgt=0.985185
Round 8: src_acc=0.998704, tgt_acc=0.994815, best_tgt=0.994815
Round 9: src_acc=0.986667, tgt_acc=0.979259, best_tgt=0.994815
Round 10: src_acc=0.999815, tgt_acc=0.996296, best_tgt=0.996296
Round 11: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997037
Round 12: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997037
Round 13: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997037
Round 14: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997037
Round 15: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.997778
Round 16: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 17: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 18: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 19: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 20: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 21: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 22: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 23: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 24: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 25: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 26: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 27: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 28: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 29: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 30: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 31: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 32: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 33: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 34: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 35: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 36: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 37: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 38: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 39: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 40: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 41: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 42: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 43: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 44: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 45: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 46: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 47: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 48: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
Round 49: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.997778
