Round 0: src_acc=0.770286, tgt_acc=0.603333, best_tgt=0.603333
Round 1: src_acc=0.915810, tgt_acc=0.800667, best_tgt=0.800667
Round 2: src_acc=0.992381, tgt_acc=0.917333, best_tgt=0.917333
Round 3: src_acc=0.995429, tgt_acc=0.916667, best_tgt=0.917333
Round 4: src_acc=0.992000, tgt_acc=0.883333, best_tgt=0.917333
Round 5: src_acc=0.961333, tgt_acc=0.884667, best_tgt=0.917333
Round 6: src_acc=0.983619, tgt_acc=0.836000, best_tgt=0.917333
Round 7: src_acc=0.995429, tgt_acc=0.890667, best_tgt=0.917333
Round 8: src_acc=0.997143, tgt_acc=0.926000, best_tgt=0.926000
Round 9: src_acc=0.967048, tgt_acc=0.847333, best_tgt=0.926000
Round 10: src_acc=1.000000, tgt_acc=0.952667, best_tgt=0.952667
Round 11: src_acc=1.000000, tgt_acc=0.943333, best_tgt=0.952667
Round 12: src_acc=1.000000, tgt_acc=0.962000, best_tgt=0.962000
Round 13: src_acc=1.000000, tgt_acc=0.944000, best_tgt=0.962000
Round 14: src_acc=1.000000, tgt_acc=0.945333, best_tgt=0.962000
Round 15: src_acc=1.000000, tgt_acc=0.950000, best_tgt=0.962000
Round 16: src_acc=1.000000, tgt_acc=0.956000, best_tgt=0.962000
Round 17: src_acc=1.000000, tgt_acc=0.944667, best_tgt=0.962000
Round 18: src_acc=1.000000, tgt_acc=0.971333, best_tgt=0.971333
Round 19: src_acc=1.000000, tgt_acc=0.958667, best_tgt=0.971333
Round 20: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.971333
Round 21: src_acc=1.000000, tgt_acc=0.962000, best_tgt=0.971333
Round 22: src_acc=1.000000, tgt_acc=0.962667, best_tgt=0.971333
Round 23: src_acc=1.000000, tgt_acc=0.965333, best_tgt=0.971333
Round 24: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.971333
Round 25: src_acc=1.000000, tgt_acc=0.956000, best_tgt=0.971333
Round 26: src_acc=1.000000, tgt_acc=0.964667, best_tgt=0.971333
Round 27: src_acc=1.000000, tgt_acc=0.964000, best_tgt=0.971333
Round 28: src_acc=1.000000, tgt_acc=0.968000, best_tgt=0.971333
Round 29: src_acc=1.000000, tgt_acc=0.956667, best_tgt=0.971333
Round 30: src_acc=1.000000, tgt_acc=0.968667, best_tgt=0.971333
Round 31: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.971333
Round 32: src_acc=1.000000, tgt_acc=0.963333, best_tgt=0.971333
Round 33: src_acc=1.000000, tgt_acc=0.961333, best_tgt=0.971333
Round 34: src_acc=1.000000, tgt_acc=0.956000, best_tgt=0.971333
Round 35: src_acc=1.000000, tgt_acc=0.970667, best_tgt=0.971333
Round 36: src_acc=1.000000, tgt_acc=0.965333, best_tgt=0.971333
Round 37: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.971333
Round 38: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.973333
Round 39: src_acc=1.000000, tgt_acc=0.960667, best_tgt=0.973333
Round 40: src_acc=1.000000, tgt_acc=0.964667, best_tgt=0.973333
Round 41: src_acc=1.000000, tgt_acc=0.964000, best_tgt=0.973333
Round 42: src_acc=1.000000, tgt_acc=0.960000, best_tgt=0.973333
Round 43: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.973333
Round 44: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.973333
Round 45: src_acc=1.000000, tgt_acc=0.965333, best_tgt=0.973333
Round 46: src_acc=1.000000, tgt_acc=0.970667, best_tgt=0.973333
Round 47: src_acc=1.000000, tgt_acc=0.964000, best_tgt=0.973333
Round 48: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.973333
Round 49: src_acc=1.000000, tgt_acc=0.969333, best_tgt=0.973333
