Round 0: src_acc=0.892190, tgt_acc=0.695333, best_tgt=0.695333
Round 1: src_acc=0.985143, tgt_acc=0.835333, best_tgt=0.835333
Round 2: src_acc=0.917524, tgt_acc=0.805333, best_tgt=0.835333
Round 3: src_acc=0.808000, tgt_acc=0.630667, best_tgt=0.835333
Round 4: src_acc=0.997524, tgt_acc=0.894667, best_tgt=0.894667
Round 5: src_acc=0.990095, tgt_acc=0.873333, best_tgt=0.894667
Round 6: src_acc=0.996762, tgt_acc=0.924667, best_tgt=0.924667
Round 7: src_acc=0.948762, tgt_acc=0.862000, best_tgt=0.924667
Round 8: src_acc=0.998476, tgt_acc=0.897333, best_tgt=0.924667
Round 9: src_acc=0.973524, tgt_acc=0.886000, best_tgt=0.924667
Round 10: src_acc=1.000000, tgt_acc=0.934667, best_tgt=0.934667
Round 11: src_acc=1.000000, tgt_acc=0.935333, best_tgt=0.935333
Round 12: src_acc=1.000000, tgt_acc=0.925333, best_tgt=0.935333
Round 13: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.959333
Round 14: src_acc=1.000000, tgt_acc=0.956667, best_tgt=0.959333
Round 15: src_acc=1.000000, tgt_acc=0.942667, best_tgt=0.959333
Round 16: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.973333
Round 17: src_acc=1.000000, tgt_acc=0.942000, best_tgt=0.973333
Round 18: src_acc=1.000000, tgt_acc=0.945333, best_tgt=0.973333
Round 19: src_acc=1.000000, tgt_acc=0.964000, best_tgt=0.973333
Round 20: src_acc=1.000000, tgt_acc=0.960667, best_tgt=0.973333
Round 21: src_acc=1.000000, tgt_acc=0.956000, best_tgt=0.973333
Round 22: src_acc=1.000000, tgt_acc=0.964667, best_tgt=0.973333
Round 23: src_acc=1.000000, tgt_acc=0.961333, best_tgt=0.973333
Round 24: src_acc=1.000000, tgt_acc=0.968000, best_tgt=0.973333
Round 25: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.973333
Round 26: src_acc=1.000000, tgt_acc=0.951333, best_tgt=0.973333
Round 27: src_acc=1.000000, tgt_acc=0.947333, best_tgt=0.973333
Round 28: src_acc=1.000000, tgt_acc=0.950000, best_tgt=0.973333
Round 29: src_acc=1.000000, tgt_acc=0.936667, best_tgt=0.973333
Round 30: src_acc=1.000000, tgt_acc=0.933333, best_tgt=0.973333
Round 31: src_acc=1.000000, tgt_acc=0.943333, best_tgt=0.973333
Round 32: src_acc=1.000000, tgt_acc=0.935333, best_tgt=0.973333
Round 33: src_acc=1.000000, tgt_acc=0.946667, best_tgt=0.973333
Round 34: src_acc=1.000000, tgt_acc=0.940667, best_tgt=0.973333
Round 35: src_acc=1.000000, tgt_acc=0.940000, best_tgt=0.973333
Round 36: src_acc=1.000000, tgt_acc=0.951333, best_tgt=0.973333
Round 37: src_acc=1.000000, tgt_acc=0.953333, best_tgt=0.973333
Round 38: src_acc=0.999810, tgt_acc=0.960667, best_tgt=0.973333
Round 39: src_acc=1.000000, tgt_acc=0.938667, best_tgt=0.973333
Round 40: src_acc=0.999810, tgt_acc=0.954667, best_tgt=0.973333
Round 41: src_acc=0.999810, tgt_acc=0.958000, best_tgt=0.973333
Round 42: src_acc=0.999429, tgt_acc=0.953333, best_tgt=0.973333
Round 43: src_acc=1.000000, tgt_acc=0.945333, best_tgt=0.973333
Round 44: src_acc=1.000000, tgt_acc=0.955333, best_tgt=0.973333
Round 45: src_acc=1.000000, tgt_acc=0.956667, best_tgt=0.973333
Round 46: src_acc=1.000000, tgt_acc=0.940000, best_tgt=0.973333
Round 47: src_acc=1.000000, tgt_acc=0.944000, best_tgt=0.973333
Round 48: src_acc=1.000000, tgt_acc=0.958667, best_tgt=0.973333
Round 49: src_acc=1.000000, tgt_acc=0.936000, best_tgt=0.973333
