Round 0: acc=0.500000, bestacc=0.500000
Round 1: acc=0.482292, bestacc=0.500000
Round 2: acc=0.509375, bestacc=0.509375
Round 3: acc=0.596875, bestacc=0.596875
Round 4: acc=0.581250, bestacc=0.596875
Round 5: acc=0.568750, bestacc=0.596875
Round 6: acc=0.586458, bestacc=0.596875
Round 7: acc=0.626042, bestacc=0.626042
Round 8: acc=0.576042, bestacc=0.626042
Round 9: acc=0.602083, bestacc=0.626042
Round 10: acc=0.643750, bestacc=0.643750
Round 11: acc=0.639583, bestacc=0.643750
Round 12: acc=0.643750, bestacc=0.643750
Round 13: acc=0.643750, bestacc=0.643750
Round 14: acc=0.631250, bestacc=0.643750
Round 15: acc=0.653125, bestacc=0.653125
Round 16: acc=0.647917, bestacc=0.653125
Round 17: acc=0.651042, bestacc=0.653125
Round 18: acc=0.654167, bestacc=0.654167
Round 19: acc=0.645833, bestacc=0.654167
Round 20: acc=0.641667, bestacc=0.654167
Round 21: acc=0.645833, bestacc=0.654167
Round 22: acc=0.644792, bestacc=0.654167
Round 23: acc=0.636458, bestacc=0.654167
Round 24: acc=0.650000, bestacc=0.654167
Round 25: acc=0.643750, bestacc=0.654167
Round 26: acc=0.652083, bestacc=0.654167
Round 27: acc=0.657292, bestacc=0.657292
Round 28: acc=0.653125, bestacc=0.657292
Round 29: acc=0.663542, bestacc=0.663542
Round 30: acc=0.664583, bestacc=0.664583
Round 31: acc=0.667708, bestacc=0.667708
Round 32: acc=0.647917, bestacc=0.667708
Round 33: acc=0.660417, bestacc=0.667708
Round 34: acc=0.652083, bestacc=0.667708
Round 35: acc=0.651042, bestacc=0.667708
Round 36: acc=0.665625, bestacc=0.667708
Round 37: acc=0.650000, bestacc=0.667708
Round 38: acc=0.648958, bestacc=0.667708
Round 39: acc=0.661458, bestacc=0.667708
Round 40: acc=0.660417, bestacc=0.667708
Round 41: acc=0.651042, bestacc=0.667708
Round 42: acc=0.668750, bestacc=0.668750
Round 43: acc=0.648958, bestacc=0.668750
Round 44: acc=0.657292, bestacc=0.668750
Round 45: acc=0.661458, bestacc=0.668750
Round 46: acc=0.660417, bestacc=0.668750
Round 47: acc=0.658333, bestacc=0.668750
Round 48: acc=0.659375, bestacc=0.668750
Round 49: acc=0.657292, bestacc=0.668750
