Round 0: acc=0.898565, bestacc=0.898565
Round 1: acc=0.942609, bestacc=0.942609
Round 2: acc=0.974975, bestacc=0.974975
Round 3: acc=0.956290, bestacc=0.974975
Round 4: acc=0.976310, bestacc=0.976310
Round 5: acc=0.966967, bestacc=0.976310
Round 6: acc=0.961962, bestacc=0.976310
Round 7: acc=0.973974, bestacc=0.976310
Round 8: acc=0.978312, bestacc=0.978312
Round 9: acc=0.983317, bestacc=0.983317
Round 10: acc=0.984985, bestacc=0.984985
Round 11: acc=0.988322, bestacc=0.988322
Round 12: acc=0.990991, bestacc=0.990991
Round 13: acc=0.989323, bestacc=0.990991
Round 14: acc=0.989990, bestacc=0.990991
Round 15: acc=0.989656, bestacc=0.990991
Round 16: acc=0.989656, bestacc=0.990991
Round 17: acc=0.985652, bestacc=0.990991
Round 18: acc=0.990324, bestacc=0.990991
Round 19: acc=0.990657, bestacc=0.990991
Round 20: acc=0.989656, bestacc=0.990991
Round 21: acc=0.990324, bestacc=0.990991
Round 22: acc=0.989656, bestacc=0.990991
Round 23: acc=0.990991, bestacc=0.990991
Round 24: acc=0.990324, bestacc=0.990991
Round 25: acc=0.990657, bestacc=0.990991
Round 26: acc=0.990657, bestacc=0.990991
Round 27: acc=0.990991, bestacc=0.990991
Round 28: acc=0.991325, bestacc=0.991325
Round 29: acc=0.989656, bestacc=0.991325
Round 30: acc=0.990657, bestacc=0.991325
Round 31: acc=0.989323, bestacc=0.991325
Round 32: acc=0.989656, bestacc=0.991325
Round 33: acc=0.990324, bestacc=0.991325
Round 34: acc=0.988655, bestacc=0.991325
Round 35: acc=0.989990, bestacc=0.991325
Round 36: acc=0.989323, bestacc=0.991325
Round 37: acc=0.990991, bestacc=0.991325
Round 38: acc=0.989990, bestacc=0.991325
Round 39: acc=0.990324, bestacc=0.991325
Round 40: acc=0.990324, bestacc=0.991325
Round 41: acc=0.989656, bestacc=0.991325
Round 42: acc=0.991992, bestacc=0.991992
Round 43: acc=0.990324, bestacc=0.991992
Round 44: acc=0.990991, bestacc=0.991992
Round 45: acc=0.988989, bestacc=0.991992
Round 46: acc=0.988655, bestacc=0.991992
Round 47: acc=0.991325, bestacc=0.991992
Round 48: acc=0.990324, bestacc=0.991992
Round 49: acc=0.990657, bestacc=0.991992
