Round 0: acc=0.933333, bestacc=0.933333
Round 1: acc=0.957037, bestacc=0.957037
Round 2: acc=0.968889, bestacc=0.968889
Round 3: acc=0.859259, bestacc=0.968889
Round 4: acc=0.964444, bestacc=0.968889
Round 5: acc=0.989630, bestacc=0.989630
Round 6: acc=0.954074, bestacc=0.989630
Round 7: acc=0.989630, bestacc=0.989630
Round 8: acc=0.988148, bestacc=0.989630
Round 9: acc=0.982222, bestacc=0.989630
Round 10: acc=0.996296, bestacc=0.996296
Round 11: acc=0.997037, bestacc=0.997037
Round 12: acc=0.997037, bestacc=0.997037
Round 13: acc=0.996296, bestacc=0.997037
Round 14: acc=0.997037, bestacc=0.997037
Round 15: acc=0.997037, bestacc=0.997037
Round 16: acc=0.997778, bestacc=0.997778
Round 17: acc=0.998519, bestacc=0.998519
Round 18: acc=0.998519, bestacc=0.998519
Round 19: acc=0.999259, bestacc=0.999259
Round 20: acc=0.997778, bestacc=0.999259
Round 21: acc=0.997778, bestacc=0.999259
Round 22: acc=0.998519, bestacc=0.999259
Round 23: acc=0.998519, bestacc=0.999259
Round 24: acc=0.997037, bestacc=0.999259
Round 25: acc=0.997778, bestacc=0.999259
Round 26: acc=0.997037, bestacc=0.999259
Round 27: acc=0.997778, bestacc=0.999259
Round 28: acc=0.997037, bestacc=0.999259
Round 29: acc=0.997778, bestacc=0.999259
Round 30: acc=0.997778, bestacc=0.999259
Round 31: acc=0.997778, bestacc=0.999259
Round 32: acc=0.997778, bestacc=0.999259
Round 33: acc=0.997778, bestacc=0.999259
Round 34: acc=0.999259, bestacc=0.999259
Round 35: acc=0.997778, bestacc=0.999259
Round 36: acc=0.998519, bestacc=0.999259
Round 37: acc=0.998519, bestacc=0.999259
Round 38: acc=0.997778, bestacc=0.999259
Round 39: acc=0.997778, bestacc=0.999259
Round 40: acc=0.997778, bestacc=0.999259
Round 41: acc=0.997778, bestacc=0.999259
Round 42: acc=0.997037, bestacc=0.999259
Round 43: acc=0.995556, bestacc=0.999259
Round 44: acc=0.997778, bestacc=0.999259
Round 45: acc=0.994815, bestacc=0.999259
Round 46: acc=0.997778, bestacc=0.999259
Round 47: acc=0.996296, bestacc=0.999259
Round 48: acc=0.996296, bestacc=0.999259
Round 49: acc=0.998519, bestacc=0.999259
