Round 0: acc=0.799259, bestacc=0.799259
Round 1: acc=0.803704, bestacc=0.803704
Round 2: acc=0.909630, bestacc=0.909630
Round 3: acc=0.921481, bestacc=0.921481
Round 4: acc=0.928148, bestacc=0.928148
Round 5: acc=0.926667, bestacc=0.928148
Round 6: acc=0.894815, bestacc=0.928148
Round 7: acc=0.961481, bestacc=0.961481
Round 8: acc=0.947407, bestacc=0.961481
Round 9: acc=0.925926, bestacc=0.961481
Round 10: acc=0.960000, bestacc=0.961481
Round 11: acc=0.948889, bestacc=0.961481
Round 12: acc=0.952593, bestacc=0.961481
Round 13: acc=0.954074, bestacc=0.961481
Round 14: acc=0.955556, bestacc=0.961481
Round 15: acc=0.947407, bestacc=0.961481
Round 16: acc=0.956296, bestacc=0.961481
Round 17: acc=0.961481, bestacc=0.961481
Round 18: acc=0.963704, bestacc=0.963704
Round 19: acc=0.966667, bestacc=0.966667
Round 20: acc=0.960000, bestacc=0.966667
Round 21: acc=0.968889, bestacc=0.968889
Round 22: acc=0.969630, bestacc=0.969630
Round 23: acc=0.969630, bestacc=0.969630
Round 24: acc=0.971111, bestacc=0.971111
Round 25: acc=0.966667, bestacc=0.971111
Round 26: acc=0.971111, bestacc=0.971111
Round 27: acc=0.972593, bestacc=0.972593
Round 28: acc=0.973333, bestacc=0.973333
Round 29: acc=0.971852, bestacc=0.973333
Round 30: acc=0.968889, bestacc=0.973333
Round 31: acc=0.968148, bestacc=0.973333
Round 32: acc=0.968148, bestacc=0.973333
Round 33: acc=0.973333, bestacc=0.973333
Round 34: acc=0.969630, bestacc=0.973333
Round 35: acc=0.971852, bestacc=0.973333
Round 36: acc=0.972593, bestacc=0.973333
Round 37: acc=0.971111, bestacc=0.973333
Round 38: acc=0.967407, bestacc=0.973333
Round 39: acc=0.971111, bestacc=0.973333
Round 40: acc=0.968889, bestacc=0.973333
Round 41: acc=0.968148, bestacc=0.973333
Round 42: acc=0.971111, bestacc=0.973333
Round 43: acc=0.970370, bestacc=0.973333
Round 44: acc=0.968889, bestacc=0.973333
Round 45: acc=0.971852, bestacc=0.973333
Round 46: acc=0.971111, bestacc=0.973333
Round 47: acc=0.965185, bestacc=0.973333
Round 48: acc=0.967407, bestacc=0.973333
Round 49: acc=0.973333, bestacc=0.973333
