Round 0: acc=0.844667, bestacc=0.844667
Round 1: acc=0.751333, bestacc=0.844667
Round 2: acc=0.838667, bestacc=0.844667
Round 3: acc=0.840667, bestacc=0.844667
Round 4: acc=0.906667, bestacc=0.906667
Round 5: acc=0.902667, bestacc=0.906667
Round 6: acc=0.926667, bestacc=0.926667
Round 7: acc=0.843333, bestacc=0.926667
Round 8: acc=0.855333, bestacc=0.926667
Round 9: acc=0.662000, bestacc=0.926667
Round 10: acc=0.916000, bestacc=0.926667
Round 11: acc=0.950000, bestacc=0.950000
Round 12: acc=0.945333, bestacc=0.950000
Round 13: acc=0.948667, bestacc=0.950000
Round 14: acc=0.933333, bestacc=0.950000
Round 15: acc=0.948000, bestacc=0.950000
Round 16: acc=0.956000, bestacc=0.956000
Round 17: acc=0.948000, bestacc=0.956000
Round 18: acc=0.957333, bestacc=0.957333
Round 19: acc=0.956000, bestacc=0.957333
Round 20: acc=0.956667, bestacc=0.957333
Round 21: acc=0.970000, bestacc=0.970000
Round 22: acc=0.962667, bestacc=0.970000
Round 23: acc=0.962667, bestacc=0.970000
Round 24: acc=0.952667, bestacc=0.970000
Round 25: acc=0.965333, bestacc=0.970000
Round 26: acc=0.962000, bestacc=0.970000
Round 27: acc=0.971333, bestacc=0.971333
Round 28: acc=0.966667, bestacc=0.971333
Round 29: acc=0.962000, bestacc=0.971333
Round 30: acc=0.964667, bestacc=0.971333
Round 31: acc=0.960000, bestacc=0.971333
Round 32: acc=0.948000, bestacc=0.971333
Round 33: acc=0.955333, bestacc=0.971333
Round 34: acc=0.976000, bestacc=0.976000
Round 35: acc=0.956667, bestacc=0.976000
Round 36: acc=0.969333, bestacc=0.976000
Round 37: acc=0.957333, bestacc=0.976000
Round 38: acc=0.955333, bestacc=0.976000
Round 39: acc=0.948000, bestacc=0.976000
Round 40: acc=0.962000, bestacc=0.976000
Round 41: acc=0.976000, bestacc=0.976000
Round 42: acc=0.947333, bestacc=0.976000
Round 43: acc=0.970000, bestacc=0.976000
Round 44: acc=0.965333, bestacc=0.976000
Round 45: acc=0.966667, bestacc=0.976000
Round 46: acc=0.969333, bestacc=0.976000
Round 47: acc=0.972667, bestacc=0.976000
Round 48: acc=0.974000, bestacc=0.976000
Round 49: acc=0.956667, bestacc=0.976000
