Round 0: acc=0.963704, bestacc=0.963704
Round 1: acc=0.976296, bestacc=0.976296
Round 2: acc=0.972593, bestacc=0.976296
Round 3: acc=0.989630, bestacc=0.989630
Round 4: acc=0.990370, bestacc=0.990370
Round 5: acc=0.988889, bestacc=0.990370
Round 6: acc=0.986667, bestacc=0.990370
Round 7: acc=0.993333, bestacc=0.993333
Round 8: acc=0.991852, bestacc=0.993333
Round 9: acc=0.982222, bestacc=0.993333
Round 10: acc=0.997037, bestacc=0.997037
Round 11: acc=0.999259, bestacc=0.999259
Round 12: acc=0.999259, bestacc=0.999259
Round 13: acc=0.999259, bestacc=0.999259
Round 14: acc=0.999259, bestacc=0.999259
Round 15: acc=0.999259, bestacc=0.999259
Round 16: acc=1.000000, bestacc=1.000000
Round 17: acc=0.999259, bestacc=1.000000
Round 18: acc=0.999259, bestacc=1.000000
Round 19: acc=1.000000, bestacc=1.000000
Round 20: acc=1.000000, bestacc=1.000000
Round 21: acc=1.000000, bestacc=1.000000
Round 22: acc=1.000000, bestacc=1.000000
Round 23: acc=1.000000, bestacc=1.000000
Round 24: acc=1.000000, bestacc=1.000000
Round 25: acc=1.000000, bestacc=1.000000
Round 26: acc=1.000000, bestacc=1.000000
Round 27: acc=1.000000, bestacc=1.000000
Round 28: acc=1.000000, bestacc=1.000000
Round 29: acc=0.999259, bestacc=1.000000
Round 30: acc=1.000000, bestacc=1.000000
Round 31: acc=1.000000, bestacc=1.000000
Round 32: acc=1.000000, bestacc=1.000000
Round 33: acc=1.000000, bestacc=1.000000
Round 34: acc=1.000000, bestacc=1.000000
Round 35: acc=1.000000, bestacc=1.000000
Round 36: acc=1.000000, bestacc=1.000000
Round 37: acc=1.000000, bestacc=1.000000
Round 38: acc=0.999259, bestacc=1.000000
Round 39: acc=1.000000, bestacc=1.000000
Round 40: acc=1.000000, bestacc=1.000000
Round 41: acc=1.000000, bestacc=1.000000
Round 42: acc=1.000000, bestacc=1.000000
Round 43: acc=1.000000, bestacc=1.000000
Round 44: acc=1.000000, bestacc=1.000000
Round 45: acc=1.000000, bestacc=1.000000
Round 46: acc=1.000000, bestacc=1.000000
Round 47: acc=1.000000, bestacc=1.000000
Round 48: acc=1.000000, bestacc=1.000000
Round 49: acc=0.999259, bestacc=1.000000
